Temperature, Energy, Absolute Magnetisation, Susceptibility, Specific Heat, Delta Specific Heat
1.0, -4861.3115423901945, 2493.1991828396324, 0.08665055956496, 0.292572003908455, 0.04155401955032582
1.1, -4985.462717058223, 2496.273748723187, 1.002902641040696339, 0.103915393146108989, 0.0021033145898870717
1.2, -4963.44126659857, 2488.7630234933606, 0.5691922417063, 0.11755344819691446, 0.005569876112523644
1.3, -4945.6138917262515, 2467.944841675179, 1.693651927854293, 0.2596806428656423, 0.0138554552281443
1.4, -4919.1133810010215, 2478.046986721144, 2.019908897887117097, 0.16871827035306064, 0.008243627325388947
1.5, -4840.429009193054, 2399.9336057201226, 0.8680902357058, 0.218145511953036, 0.02623305322986014
1.6, -4778.892747701737, 2356.4627170582226, 1.45463005025871, 0.30555464342609046, 0.03491035281448853
1.7, -4742.067415730337, 2331.5495403472933, 0.7635441560517339, 0.39808314402571604, 0.02302198506469805
1.8, -4645.025536261492, 2286.303370786517, 1.337001679463312, 0.49277120286391835, 0.030234368482401183
1.9, -4414.708886618999, 2280.482124616956, 0.73807621203275, 0.5780706790172163, 0.031470983396832109
2.0, -4357.458631256384, 2273.8753830439223, 4.4708814702210948, 0.7493700791180133, 0.03200753384878136
2.1, -4128.343207354444, 2095.5832482124615, 9.56753148796569, 1.6694334940625832, 0.10285778514570815
2.2, -3841.9162410623085, 1914.3309499489276, 21.650630656925623, 1.680733176184864, 0.0779022480622499
2.3, -3395.191011235955, 1188.9724208375894, 174.23682245719417, 2.345794561473206, 0.08760223067391545
2.4, -3023.244126659857, 580.6189989785495, 78.208840822405, 1.168625628030859, 0.057817300196251496
2.5, -2770.868232890705, 366.0715015321757, 32.660463742932535, 0.9231549582540989, 0.0437404429222006
2.6, -2572.6128702757915, 240.70684371807968, 13.768659616702863, 0.6739194249557386, 0.02898872521859467
2.7, -2406.7742594484166, 185.50153217568948, 7.721258387086714, 0.5814756868918654, 0.02511560496836223
2.8, -2265.3401430030644, 166.28192032686414, 6.1866885899676065, 0.5152063607377457, 0.026109120174179257
2.9, -2147.926455566905, 155.7364657814096, 5.308731198499115, 0.43205740064785647, 0.021805884573424097
3.0, -2045.3237997957099, 133.96935648621042, 3.7742319632263923, 0.414509334035404, 0.016923075996178698
