Temperature, Energy, Specific Heat, Delta Specific Heat
1.0, -4723.611848825332, 0.2204533207550645, 0.04447146188296145
1.1, -4703.403472931563, 0.2504253381158202, 0.024050342965636982
1.2, -4613.834525025536, 0.20979718336628542, 0.01330599838688121
1.3, -4620.964249233913, 0.42567037943993097, 0.013555443718672441
1.4, -4612.555669050051, 0.4054086252195495, 0.03461722381833605
1.5, -4502.884576098059, 0.4736218739483091, 0.03245314193348666
1.6, -4449.679264555669, 0.4887039212638046, 0.011640382444098091
1.7, -4411.043922369765, 0.4442910973124439, 0.02141374401651371
1.8, -4297.356486210419, 0.5833665728844978, 0.025060022167326182
1.9, -4161.242083758938, 0.6146994503573038, 0.02714186084800405
2.0, -4009.082737487232, 0.7722545759206638, 0.03653715363505414
2.1, -3779.1256384065373, 1.015382677633949, 0.0419095459805407
2.2, -3533.8753830439223, 1.1862680587150956, 0.054091309595604584
2.3, -3234.128702757916, 1.1537028280818846, 0.047151942202956
2.4, -2969.3932584269664, 1.0318036825775116, 0.045558273634201764
2.5, -2738.6557711950973, 0.8267293152942061, 0.03848630571198286
2.6, -2554.896833503575, 0.6383865059856546, 0.029704590466126106
2.7, -2401.2461695607763, 0.6355817110282055, 0.02803715485104463
2.8, -2257.625880191856, 0.5857819010082055, 0.02609715455104124
2.9, -2143.013776916012, 0.5509386395716189, 0.03395617124857925
3.0, -2040.8466170017348, 0.5197859751075093, 0.02984579443956258

